,Care system,payment,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,rating
0,3,0,5,5,5,5,6,4,3,4.4
1,3,0,5,5,4,5,5,4,3,4.1
2,3,0,5,5,5,5,6,4,3,3.8
3,3,1,5,5,5,5,6,4,3,3.8
4,3,1,1,1,1,1,2,3,2,3.6
5,3,1,5,5,5,5,6,4,3,4.4
6,3,0,6,6,6,6,7,5,4,0.0
7,3,0,5,5,5,5,6,4,3,4.2
8,3,0,5,5,5,5,6,4,3,4.3
9,3,1,5,5,5,5,6,4,3,4.0
10,3,0,5,5,5,5,6,4,3,4.1
11,3,1,5,5,5,5,6,4,3,3.9
12,3,0,5,5,5,5,6,4,3,3.9
13,3,1,5,5,5,5,6,4,3,4.2
14,3,0,5,5,5,5,6,4,3,3.9
15,3,0,6,6,6,6,7,5,4,4.1
16,3,1,6,6,6,6,7,5,4,3.0
17,3,0,5,5,5,5,6,4,2,4.0
18,3,0,5,5,5,5,6,4,3,3.9
19,3,0,6,6,6,6,7,5,4,3.8
20,3,0,5,5,5,5,6,4,3,3.7
21,3,1,5,5,5,5,6,4,3,3.7
22,3,1,5,5,5,5,6,4,3,3.0
23,3,1,6,6,6,6,7,5,4,0.0
24,4,1,5,5,5,5,6,4,3,3.2
25,3,1,6,6,6,6,7,5,4,2.3
26,3,3,6,6,6,6,7,5,4,0.0
27,3,3,1,1,1,1,2,1,2,3.0
28,3,3,6,6,6,6,7,5,4,3.4
29,3,3,6,6,6,6,7,5,4,4.3
30,3,3,6,6,6,6,7,5,4,4.0
31,3,3,5,5,5,5,0,4,3,4.2
32,3,3,6,6,6,6,7,5,4,0.0
33,3,3,6,6,6,6,7,5,4,0.0
34,3,3,6,6,6,6,7,5,4,4.4
35,3,3,5,5,5,5,6,4,3,3.4
36,3,3,5,5,5,5,6,4,3,4.1
37,3,3,5,5,5,5,6,4,3,3.7
38,5,3,6,6,6,6,7,5,4,3.7
39,3,3,5,5,5,5,6,4,3,3.5
40,3,3,5,5,5,5,6,4,3,3.6
41,3,3,5,5,5,5,6,4,3,3.4
42,3,3,5,5,5,5,6,4,3,3.8
43,3,3,5,5,5,5,6,4,3,3.8
44,3,3,5,5,5,5,6,4,3,3.7
45,3,3,5,5,5,5,6,4,3,4.0
46,3,3,6,6,6,6,7,5,4,0.0
47,3,3,6,6,6,6,7,5,4,3.3
48,3,3,5,5,5,5,6,4,3,4.0
49,3,0,5,5,5,5,6,4,3,4.0
50,3,1,5,5,5,5,6,4,3,3.6
51,3,1,6,6,6,6,7,5,4,4.7
52,3,2,4,4,4,4,5,2,1,3.4
53,3,2,1,1,1,1,2,1,0,3.8
54,5,2,5,5,5,5,6,4,3,3.7
55,3,2,5,5,5,5,6,4,3,4.0
56,3,2,5,5,5,5,6,4,3,3.3
57,3,1,6,6,6,6,7,5,4,4.4
58,3,1,1,1,1,1,2,1,2,3.0
59,3,1,6,6,6,6,7,5,4,4.0
60,3,1,5,5,5,5,6,4,3,4.2
61,3,1,5,5,5,5,6,4,3,4.0
62,3,1,5,5,5,5,6,4,3,3.9
63,3,1,5,5,5,5,6,4,3,3.8
64,3,1,6,6,6,6,7,5,4,0.0
65,3,1,1,1,1,1,2,3,2,3.6
66,3,1,1,1,1,1,2,1,2,1.0
67,3,1,1,1,1,1,2,3,2,3.6
68,1,1,3,3,3,3,4,3,2,3.7
69,1,1,0,0,0,0,1,0,2,4.5
70,0,1,5,5,5,5,6,4,3,3.8
71,3,1,5,5,5,5,6,4,3,5.0
72,5,1,5,5,5,5,6,4,3,4.4
73,1,1,1,1,1,1,2,3,2,4.0
74,1,1,2,2,2,2,3,3,2,0.0
75,1,1,6,6,6,6,7,5,4,4.6
76,5,1,5,5,5,5,6,4,3,4.3
77,5,1,5,5,5,5,6,4,3,3.0
78,2,1,6,6,6,6,7,5,4,0.0
79,5,1,5,5,5,5,6,4,3,3.6
80,1,1,5,5,5,5,6,4,3,3.4
81,1,1,6,6,6,6,7,5,4,4.0
82,1,1,6,6,6,6,7,5,4,0.0
